Date,Open,High,Low,Close,Volume
2022-10-14,144.071,144.281,137.961,138.151,88744940.024389
2022-10-17,140.831,142.663,140.038,142.174,85392357.792963
2022-10-18,145.249,146.457,140.377,143.512,99301063.082736
2022-10-19,141.455,144.709,141.266,143.622,61860788.019936
2022-10-20,142.783,145.648,142.414,143.153,64629021.507923
2022-10-21,142.633,147.603,142.413,147.026,86692180.436995
2022-10-24,146.941,149.981,145.758,149.202,76107960.847816
2022-10-25,149.841,152.237,149.113,152.088,74856259.89841
2022-10-26,150.71,151.738,147.795,149.103,88582874.626918
2022-10-27,147.825,148.799,143.891,144.56,109361263.8412
2022-10-28,147.955,157.239,147.575,155.482,165035687.58637
2022-10-31,152.901,153.985,151.668,153.086,98105644.342631
2022-11-01,154.823,155.193,148.883,150.401,80512682.533667
2022-11-02,148.698,151.918,144.76,144.79,93759899.328398
2022-11-03,141.825,142.564,138.52,138.65,98080948.443606
2022-11-04,142.09,142.67,134.38,138.38,140814796
2022-11-07,137.11,139.145,135.671,138.92,83374628
2022-11-08,140.41,141.43,137.49,139.5,89908477
2022-11-09,138.5,138.55,134.5933,134.87,74917794
2022-11-10,141.24,146.87,139.5,146.87,118854028
2022-11-11,145.82,150.01,144.37,149.7,93979665
2022-11-14,148.97,150.28,147.43,148.28,73374114
2022-11-15,152.215,153.59,148.5613,150.04,89868332
2022-11-16,149.13,149.87,147.29,148.79,64218266
2022-11-17,146.43,151.48,146.15,150.72,80389400
2022-11-18,152.305,152.7,149.97,151.29,74829573
2022-11-21,150.16,150.37,147.715,148.01,58724070
2022-11-22,148.13,150.42,146.925,150.18,51804132
2022-11-23,149.45,151.83,149.34,151.07,58301395
2022-11-25,148.305,148.88,147.12,148.11,35195860
2022-11-28,145.14,146.64,143.38,144.22,69346522
2022-11-29,144.29,144.81,140.355,141.17,83763803
2022-11-30,141.395,148.72,140.55,148.03,111380880
2022-12-01,148.21,149.13,146.61,148.31,71250416
2022-12-02,145.96,148,145.65,147.81,65447446
2022-12-05,147.77,150.9199,145.77,146.63,68826442
2022-12-06,147.075,147.3,141.92,142.91,64727186
2022-12-07,142.19,143.37,140,140.94,69721094
2022-12-08,142.36,143.52,141.1,142.65,62128338
2022-12-09,142.34,145.57,140.9,142.16,76097011
2022-12-12,142.7,144.5,141.06,144.49,70462654
2022-12-13,149.5,149.9692,144.24,145.47,93886161
2022-12-14,145.35,146.655,141.16,143.21,82291182
2022-12-15,141.11,141.8,136.025,136.5,98931907
2022-12-16,136.685,137.65,133.73,134.51,160156900
2022-12-19,135.11,135.2,131.32,132.37,79592614
2022-12-20,131.39,133.25,129.89,132.3,77432819
2022-12-21,132.98,136.81,132.75,135.45,85927993
2022-12-22,134.352,134.56,130.3,132.23,77852108
2022-12-23,130.92,132.415,129.64,131.86,63814893
2022-12-27,131.38,131.41,128.72,130.03,69007830
2022-12-28,129.67,131.0275,125.87,126.04,85438391
2022-12-29,127.99,130.4814,127.73,129.61,75703710
2022-12-30,128.41,129.95,127.43,129.93,77034209
